code,isco08Code,source,nameTr,nameEn
3432,3432,Isco08,İç mimarlar ve dekoratörler,Interior Designers and Decorators
3433,3433,Isco08,"Galeri, müze ve kütüphane teknisyenleri","Gallery, Museum and Library Technicians"
3434,3434,Isco08,Şefler (aşçıbaşılar),Chefs
3435,3435,Isco08,Diğer sanat ve kültür yardımcı meslek mensupları,Other Artistic and Cultural Associate Professionals
3511,3511,Isco08,Bilgi ve iletişim teknolojileri operasyon teknisyenleri,Information and Communications Technology Operations Technicians
3512,3512,Isco08,Bilgi ve iletişim teknolojileri kullanıcı destek teknisyenleri,Information and Communications Technology User Support Technicians
3513,3513,Isco08,Bilgisayar ağı ve sistem teknisyenleri,Computer Network and Systems Technicians
3514,3514,Isco08,Web teknisyenleri,Web Technicians
3521,3521,Isco08,Yayıncılık ve görsel-işitsel teknisyenler,Broadcasting and Audio-visual Technicians
3522,3522,Isco08,Telekomünikasyon mühendisliği teknisyenleri,Telecommunications Engineering Technicians
4110,4110,Isco08,Genel büro memurları,General Office Clerks
4120,4120,Isco08,Sekreterler (genel),Secretaries (general)
4131,4131,Isco08,Daktilograflar ve kelime işlem operatörleri,Typists and Word Processing Operators
4132,4132,Isco08,Veri giriş elemanları,Data Entry Clerks
4211,4211,Isco08,Banka veznedarları ve ilgili memurlar,Bank Tellers and Related Clerks
4212,4212,Isco08,"Bahis, krupiye ve ilgili oyun çalışanları","Bookmakers, Croupiers and Related Gaming Workers"
4213,4213,Isco08,Rehinciler ve tefeciler,Pawnbrokers and Money-lenders
4214,4214,Isco08,Tahsilat memurları ve ilgili çalışanlar,Debt Collectors and Related Workers
4221,4221,Isco08,Seyahat danışmanları ve memurları,Travel Consultants and Clerks
4222,4222,Isco08,Çağrı merkezi bilgi memurları,Contact Centre Information Clerks
4223,4223,Isco08,Telefon santral operatörleri,Telephone Switchboard Operators
4224,4224,Isco08,Otel resepsiyonistleri,Hotel Receptionists
4225,4225,Isco08,Danışma memurları,Inquiry Clerks
4226,4226,Isco08,Resepsiyonistler (genel),Receptionists (general)
4227,4227,Isco08,Anket ve pazar araştırması anketörleri,Survey and Market Research Interviewers
4229,4229,Isco08,Müşteri bilgilendirme çalışanları (bys),Client Information Workers Not Elsewhere Classified
4311,4311,Isco08,Muhasebe ve defter tutma memurları,Accounting and Bookkeeping Clerks
4312,4312,Isco08,"İstatistik, finans ve sigorta memurları","Statistical, Finance and Insurance Clerks"
4313,4313,Isco08,Bordro memurları,Payroll Clerks
4321,4321,Isco08,Stok memurları,Stock Clerks
4322,4322,Isco08,Üretim memurları,Production Clerks
4323,4323,Isco08,Ulaştırma memurları,Transport Clerks
4411,4411,Isco08,Kütüphane memurları,Library Clerks
4412,4412,Isco08,Posta dağıtıcıları ve tasnif memurları,Mail Carriers and Sorting Clerks
4413,4413,Isco08,"Kodlama, düzeltme ve ilgili memurlar","Coding, Proofreading and Related Clerks"
4414,4414,Isco08,Arzuhalciler ve ilgili çalışanlar,Scribes and Related Workers
4415,4415,Isco08,Dosyalama ve kopyalama memurları,Filing and Copying Clerks
4416,4416,Isco08,Personel memurları,Personnel Clerks
4419,4419,Isco08,Büro destek elemanları (bys),Clerical Support Workers Not Elsewhere Classified
5111,5111,Isco08,Seyahat görevlileri ve kabin memurları,Travel Attendants and Travel Stewards
5112,5112,Isco08,Ulaşım kondüktörleri,Transport Conductors
5113,5113,Isco08,Turist rehberleri,Travel Guides
5120,5120,Isco08,Aşçılar,Cooks
5131,5131,Isco08,Garsonlar,Waiters
5132,5132,Isco08,Barmenler,Bartenders
5141,5141,Isco08,Kuaförler,Hairdressers
5142,5142,Isco08,Güzellik uzmanları ve ilgili çalışanlar,Beauticians and Related Workers
5151,5151,Isco08,"Ofis, otel ve diğer kuruluşlarda temizlik ve kat hizmetleri şefleri","Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments"
5152,5152,Isco08,Ev kâhyaları,Domestic Housekeepers
5153,5153,Isco08,Bina bakım görevlileri (kapıcılar),Building Caretakers
5161,5161,Isco08,"Astrologlar, falcılar ve ilgili çalışanlar","Astrologers, Fortune-tellers and Related Workers"
5162,5162,Isco08,Refakatçiler ve uşaklar,Companions and Valets
5163,5163,Isco08,Cenaze hizmetleri çalışanları,Undertakers and Embalmers
5164,5164,Isco08,Evcil hayvan bakıcıları ve hayvan bakım çalışanları,Pet Groomers and Animal Care Workers
5165,5165,Isco08,Sürücü kursu eğitmenleri,Driving Instructors
5169,5169,Isco08,Kişisel hizmet çalışanları (bys),Personal Services Workers Not Elsewhere Classified
5211,5211,Isco08,Tezgâh ve pazar satıcıları,Stall and Market Salespersons
5212,5212,Isco08,Sokak yiyecek satıcıları,Street Food Salespersons
5221,5221,Isco08,Dükkân sahipleri (esnaf),Shopkeepers
5222,5222,Isco08,Mağaza şefleri,Shop Supervisors
5223,5223,Isco08,Mağaza satış görevlileri,Shop Sales Assistants
5230,5230,Isco08,Kasiyerler ve bilet memurları,Cashiers and Ticket Clerks
5241,5241,Isco08,Mankenler ve modeller,Fashion and Other Models
5242,5242,Isco08,Ürün tanıtım elemanları,Sales Demonstrators
5243,5243,Isco08,Kapıdan kapıya satıcılar,Door-to-door Salespersons
5244,5244,Isco08,Çağrı merkezi satış temsilcileri,Contact Centre Salespersons
5245,5245,Isco08,Akaryakıt istasyonu görevlileri,Service Station Attendants
5246,5246,Isco08,Yiyecek servis tezgâhı görevlileri,Food Service Counter Attendants
5249,5249,Isco08,Satış çalışanları (bys),Sales Workers Not Elsewhere Classified
5311,5311,Isco08,Çocuk bakıcıları,Child Care Workers
5312,5312,Isco08,Öğretmen yardımcıları,Teachers' Aides
5321,5321,Isco08,Hasta bakıcılar,Health Care Assistants
5322,5322,Isco08,Evde kişisel bakım çalışanları,Home-based Personal Care Workers
5329,5329,Isco08,Sağlık hizmetlerinde kişisel bakım çalışanları (bys),Personal Care Workers in Health Services Not Elsewhere Classified
5411,5411,Isco08,İtfaiyeciler,Fire Fighters
5412,5412,Isco08,Polis memurları,Police Officers
5413,5413,Isco08,İnfaz koruma memurları (gardiyanlar),Prison Guards
5414,5414,Isco08,Güvenlik görevlileri,Security Guards
5419,5419,Isco08,Koruma hizmetleri çalışanları (bys),Protective Services Workers Not Elsewhere Classified
6111,6111,Isco08,Tarla bitkileri ve sebze yetiştiricileri,Field Crop and Vegetable Growers
6112,6112,Isco08,Ağaç ve çalı ürünleri yetiştiricileri,Tree and Shrub Crop Growers
6113,6113,Isco08,"Bahçıvanlar, bahçe bitkileri ve fidan yetiştiricileri","Gardeners, Horticultural and Nursery Growers"
6114,6114,Isco08,Karma bitkisel ürün yetiştiricileri,Mixed Crop Growers
6121,6121,Isco08,Büyükbaş hayvan ve süt üreticileri,Livestock and Dairy Producers
6122,6122,Isco08,Kümes hayvanı üreticileri,Poultry Producers
6123,6123,Isco08,Arıcılar ve ipek böceği yetiştiricileri,Apiarists and Sericulturists
6129,6129,Isco08,Hayvan üreticileri (bys),Animal Producers Not Elsewhere Classified
6130,6130,Isco08,Karma bitkisel ve hayvansal ürün üreticileri,Mixed Crop and Animal Producers
6210,6210,Isco08,Ormancılık ve ilgili çalışanlar,Forestry and Related Workers
6221,6221,Isco08,Su ürünleri yetiştiricileri,Aquaculture Workers
6222,6222,Isco08,İç su ve kıyı balıkçıları,Inland and Coastal Waters Fishery Workers
6223,6223,Isco08,Açık deniz balıkçıları,Deep-sea Fishery Workers
6224,6224,Isco08,Avcılar ve tuzakçılar,Hunters and Trappers
6310,6310,Isco08,Geçimlik bitkisel üretim çiftçileri,Subsistence Crop Farmers
6320,6320,Isco08,Geçimlik hayvancılık çiftçileri,Subsistence Livestock Farmers
6330,6330,Isco08,Geçimlik karma bitkisel ve hayvansal üretim çiftçileri,Subsistence Mixed Crop and Livestock Farmers
6340,6340,Isco08,"Geçimlik balıkçılar, avcılar, tuzakçılar ve toplayıcılar","Subsistence Fishers, Hunters, Trappers and Gatherers"
7111,7111,Isco08,Ev inşaatçıları,House Builders
7112,7112,Isco08,Duvarcılar ve ilgili çalışanlar,Bricklayers and Related Workers
7113,7113,Isco08,"Taş ustaları, taş kesicileri ve oymacıları","Stonemasons, Stone Cutters, Splitters and Carvers"
7114,7114,Isco08,"Beton dökücüler, beton perdahçıları ve ilgili çalışanlar","Concrete Placers, Concrete Finishers and Related Workers"
7115,7115,Isco08,Marangozlar ve doğramacılar,Carpenters and Joiners
7119,7119,Isco08,Bina karkas ve ilgili işlerde çalışanlar (bys),Building Frame and Related Trades Workers Not Elsewhere Classified
7121,7121,Isco08,Çatı ustaları,Roofers
7122,7122,Isco08,Zemin döşemecileri ve fayansçılar,Floor Layers and Tile Setters
7123,7123,Isco08,Sıvacılar,Plasterers
7124,7124,Isco08,Yalıtım ustaları,Insulation Workers
7125,7125,Isco08,Camcılar,Glaziers
7126,7126,Isco08,Tesisatçılar ve boru montajcıları,Plumbers and Pipe Fitters
7127,7127,Isco08,Klima ve soğutma teknisyenleri,Air Conditioning and Refrigeration Mechanics
7131,7131,Isco08,Boyacılar ve ilgili çalışanlar,Painters and Related Workers
7132,7132,Isco08,Püskürtme boyacıları ve vernikçiler,Spray Painters and Varnishers
7133,7133,Isco08,Bina dış cephe temizleyicileri,Building Structure Cleaners
7211,7211,Isco08,Metal dökümcüleri ve maça yapımcıları,Metal Moulders and Coremakers
7212,7212,Isco08,Kaynakçılar ve alevle kesiciler,Welders and Flame Cutters
7213,7213,Isco08,Sac işçileri,Sheet Metal Workers
7214,7214,Isco08,Çelik konstrüksiyon hazırlayıcıları ve montajcıları,Structural Metal Preparers and Erectors
7215,7215,Isco08,Halat ve kablo işçileri (rigger),Riggers and Cable Splicers
7221,7221,Isco08,"Demirciler, çekiççiler ve dövme presi işçileri","Blacksmiths, Hammersmiths and Forging Press Workers"
7222,7222,Isco08,Takım yapımcıları (kalıpçılar) ve ilgili çalışanlar,Toolmakers and Related Workers
7223,7223,Isco08,Metal işleme tezgâhı ayarlayıcıları ve operatörleri,Metal Working Machine Tool Setters and Operators
7224,7224,Isco08,"Metal parlatıcıları, taşlamacılar ve bileyiciler","Metal Polishers, Wheel Grinders and Tool Sharpeners"
7231,7231,Isco08,Motorlu taşıt mekanikerleri ve tamircileri,Motor Vehicle Mechanics and Repairers
7232,7232,Isco08,Uçak motoru mekanikerleri ve tamircileri,Aircraft Engine Mechanics and Repairers
7233,7233,Isco08,Tarım ve sanayi makineleri mekanikerleri ve tamircileri,Agricultural and Industrial Machinery Mechanics and Repairers
7234,7234,Isco08,Bisiklet ve ilgili araç tamircileri,Bicycle and Related Repairers
7311,7311,Isco08,Hassas alet yapımcıları ve tamircileri,Precision-instrument Makers and Repairers
7312,7312,Isco08,Müzik aleti yapımcıları ve akortçuları,Musical Instrument Makers and Tuners
7313,7313,Isco08,Kuyumcular ve değerli metal işçileri,Jewellery and Precious Metal Workers
7314,7314,Isco08,Çömlekçiler ve ilgili çalışanlar,Potters and Related Workers
7315,7315,Isco08,"Cam yapımcıları, kesicileri, taşlayıcıları ve bitiricileri","Glass Makers, Cutters, Grinders and Finishers"
7316,7316,Isco08,"Tabela yazıcıları, dekoratif boyacılar, gravürcüler ve hakkâklar","Sign Writers, Decorative Painters, Engravers and Etchers"
7317,7317,Isco08,"Ahşap, sepetçilik ve ilgili malzemelerde el sanatları çalışanları","Handicraft Workers in Wood, Basketry and Related Materials"
7318,7318,Isco08,"Tekstil, deri ve ilgili malzemelerde el sanatları çalışanları","Handicraft Workers in Textile, Leather and Related Materials"
7319,7319,Isco08,El sanatları çalışanları (bys),Handicraft Workers Not Elsewhere Classified
